destination,risk_level,last_updated,url
Afghanistan,Do not travel,2025-06-03T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/afghanistan
Albania,Exercise a high degree of caution,2024-12-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/albania
Algeria,Exercise a high degree of caution,2025-04-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/algeria
Angola,Exercise a high degree of caution,2025-05-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/angola
Argentina,Exercise normal safety precautions,2025-02-26T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/argentina
Armenia,Exercise normal safety precautions,2025-06-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/armenia
Austria,Exercise normal safety precautions,2025-07-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/austria
Azerbaijan,Exercise a high degree of caution,2025-07-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/azerbaijan
Bahrain,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/bahrain
Bangladesh,Reconsider your need to travel,2025-03-18T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/bangladesh
Belarus,Do not travel,2025-02-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/belarus
Belgium,Exercise normal safety precautions,2025-05-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/belgium
Belize,Exercise a high degree of caution,2025-06-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/belize
Benin,Exercise a high degree of caution,2024-10-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/benin
Bhutan,Exercise normal safety precautions,2025-03-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/bhutan
Bolivia,Exercise a high degree of caution,2025-05-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/bolivia
Bosnia and Herzegovina,Exercise a high degree of caution,2025-03-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/bosnia-and-herzegovina
Botswana,Exercise normal safety precautions,2025-02-25T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/botswana
Brazil,Exercise a high degree of caution,2025-04-10T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/brazil
Brunei Darussalam,Exercise normal safety precautions,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/brunei-darussalam
Bulgaria,Exercise normal safety precautions,2025-04-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/bulgaria
Burkina Faso,Do not travel,2024-12-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/burkina-faso
Burundi,Reconsider your need to travel,2025-03-28T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/burundi
Cambodia,Exercise normal safety precautions,2025-06-25T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/cambodia
Cameroon,Exercise a high degree of caution,2025-04-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/cameroon
Canada,Exercise normal safety precautions,2025-06-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/canada
Central African Republic,Do not travel,2025-06-04T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/central-african-republic
Chad,Do not travel,2025-01-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/chad
Chile,Exercise a high degree of caution,2025-05-19T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/chile
China,Exercise a high degree of caution,2025-04-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/china
Colombia,Exercise a high degree of caution,2025-06-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/colombia
Cook Islands,Exercise normal safety precautions,2025-06-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/cook-islands
Costa Rica,Exercise a high degree of caution,2024-11-28T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/costa-rica
Croatia,Exercise normal safety precautions,2025-07-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/croatia
Cuba,Exercise a high degree of caution,2025-05-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/cuba
Cyprus,Exercise a high degree of caution,2025-06-04T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/cyprus
Czech Republic,Exercise normal safety precautions,2025-07-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/czech-republic
Côte d'Ivoire (Ivory Coast),Exercise a high degree of caution,2025-01-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/cote-divoire-ivory-coast
Democratic Republic of the Congo,Do not travel,2025-06-06T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/democratic-republic-congo
Denmark,Exercise normal safety precautions,2025-04-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/denmark
Djibouti,Exercise a high degree of caution,2025-02-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/djibouti
Dominican Republic,Exercise a high degree of caution,2025-01-20T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/dominican-republic
Ecuador,Exercise a high degree of caution,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/ecuador
Egypt,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/egypt
El Salvador,Exercise a high degree of caution,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/el-salvador
Eritrea,Reconsider your need to travel,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/eritrea
Estonia,Exercise normal safety precautions,2025-03-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/estonia
Eswatini,Exercise a high degree of caution,2024-11-19T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/eswatini
Ethiopia,Reconsider your need to travel,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/ethiopia
Federated States of Micronesia,Exercise normal safety precautions,2025-05-02T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/federated-states-micronesia
Fiji,Exercise normal safety precautions,2025-06-06T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/fiji
Finland,Exercise normal safety precautions,2025-03-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/finland
France,Exercise a high degree of caution,2025-05-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/france
French Polynesia,Exercise normal safety precautions,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/french-polynesia
Gabon,Exercise a high degree of caution,2025-05-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/gabon
Georgia,Exercise normal safety precautions,2025-06-03T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/georgia
Germany,Exercise normal safety precautions,2025-04-16T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/germany
Ghana,Exercise a high degree of caution,2025-04-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/ghana
Greece,Exercise normal safety precautions,2025-07-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/greece
Guam,Exercise normal safety precautions,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/guam
Guatemala,Exercise a high degree of caution,2025-02-20T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/guatemala
Guinea,Exercise a high degree of caution,2025-03-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/guinea
Guyana,Exercise a high degree of caution,2025-06-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/guyana
Haiti,Do not travel,2025-02-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/haiti
Honduras,Exercise a high degree of caution,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/honduras
Hong Kong,Exercise a high degree of caution,2025-04-16T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/hong-kong
Hungary,Exercise normal safety precautions,2025-07-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/hungary
Iceland,Exercise normal safety precautions,2025-04-04T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/iceland
India,Exercise a high degree of caution,2025-05-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/india
Indonesia,Exercise a high degree of caution,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/indonesia
Iran,Do not travel,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/iran
Iraq,Do not travel,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/iraq
Ireland,Exercise normal safety precautions,2025-03-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/ireland
Israel and the Occupied Palestinian Territories,Reconsider your need to travel,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/israel-and-occupied-palestinian-territories
Italy,Exercise normal safety precautions,2025-05-19T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/italy
Jamaica,Exercise a high degree of caution,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/jamaica
Japan,Exercise normal safety precautions,2025-03-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/japan
Jordan,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/jordan
Kazakhstan,Exercise normal safety precautions,2024-10-18T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/kazakhstan
