destination,risk_level,last_updated,details_url
Afghanistan,Avoid all travel,2025-09-03T16:40:04,https://travel.gc.ca/destinations/afghanistan
Albania,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/albania
Algeria,Exercise a high degree of caution (with regional advisories),2025-09-03T16:42:09,https://travel.gc.ca/destinations/algeria
American Samoa,Take normal security precautions,2025-09-10T11:27:52,https://travel.gc.ca/destinations/american-samoa
Andorra,Take normal security precautions,2025-09-03T16:40:04,https://travel.gc.ca/destinations/andorra
Angola,Exercise a high degree of caution (with regional advisories),2025-09-11T11:41:31,https://travel.gc.ca/destinations/angola
Anguilla,Take normal security precautions,2025-09-10T11:50:13,https://travel.gc.ca/destinations/anguilla
Antarctica,Exercise a high degree of caution,2025-09-03T16:40:04,https://travel.gc.ca/destinations/antarctica
Antigua and Barbuda,Take normal security precautions,2025-09-09T16:23:17,https://travel.gc.ca/destinations/antigua-and-barbuda
Argentina,Take normal security precautions (with regional advisories),2025-09-09T16:27:15,https://travel.gc.ca/destinations/argentina
Armenia,Take normal security precautions (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/armenia
Aruba,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/aruba
Australia,Take normal security precautions,2025-09-03T16:40:04,https://travel.gc.ca/destinations/australia
Austria,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/austria
Azerbaijan,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/azerbaijan
Azores,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/azores
Bahamas,Exercise a high degree of caution,2025-09-09T16:31:53,https://travel.gc.ca/destinations/bahamas
Bahrain,Exercise a high degree of caution,2025-09-03T16:40:04,https://travel.gc.ca/destinations/bahrain
Bangladesh,Exercise a high degree of caution (with regional advisories),2025-09-10T14:19:35,https://travel.gc.ca/destinations/bangladesh
Barbados,Take normal security precautions,2025-09-09T16:38:37,https://travel.gc.ca/destinations/barbados
Belarus,Avoid all travel,2025-09-03T16:40:04,https://travel.gc.ca/destinations/belarus
Belgium,Exercise a high degree of caution,2025-09-09T16:27:55,https://travel.gc.ca/destinations/belgium
Belize,Exercise a high degree of caution (with regional advisories),2025-09-11T15:21:03,https://travel.gc.ca/destinations/belize
Benin,Exercise a high degree of caution (with regional advisories),2025-09-03T16:40:04,https://travel.gc.ca/destinations/benin
Bermuda,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/bermuda
Bhutan,Take normal security precautions,2025-09-10T14:29:16,https://travel.gc.ca/destinations/bhutan
Bolivia,Exercise a high degree of caution (with regional advisories),2025-09-10T15:24:56,https://travel.gc.ca/destinations/bolivia
Bonaire,Take normal security precautions,2025-09-03T16:47:20,https://travel.gc.ca/destinations/bonaire
Bosnia and Herzegovina,Exercise a high degree of caution,2025-09-03T16:42:09,https://travel.gc.ca/destinations/bosnia-and-herzegovina
Botswana,Exercise a high degree of caution,2025-09-11T11:37:53,https://travel.gc.ca/destinations/botswana
Brazil,Exercise a high degree of caution (with regional advisories),2025-09-08T08:38:09,https://travel.gc.ca/destinations/brazil
British Virgin Islands,Take normal security precautions,2025-09-04T14:33:27,https://travel.gc.ca/destinations/british-virgin-islands
Brunei,Take normal security precautions,2025-09-10T14:44:58,https://travel.gc.ca/destinations/brunei
Bulgaria,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/bulgaria
Burkina Faso,Avoid all travel,2025-09-11T11:20:28,https://travel.gc.ca/destinations/burkina-faso
Burundi,Avoid non-essential travel (with regional advisories),2025-09-11T11:47:15,https://travel.gc.ca/destinations/burundi
Cabo Verde,Exercise a high degree of caution,2025-09-03T16:40:04,https://travel.gc.ca/destinations/cabo-verde
Cambodia,Exercise a high degree of caution (with regional advisories),2025-09-10T14:45:17,https://travel.gc.ca/destinations/cambodia
Cameroon,Exercise a high degree of caution (with regional advisories),2025-09-11T12:07:19,https://travel.gc.ca/destinations/cameroon
Canary Islands,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/canary-islands
Cayman Islands,Take normal security precautions,2025-09-03T16:40:04,https://travel.gc.ca/destinations/cayman-islands
Central African Republic,Avoid all travel,2025-09-11T13:38:24,https://travel.gc.ca/destinations/central-african-republic
Chad,Avoid non-essential travel (with regional advisories),2025-09-11T13:41:52,https://travel.gc.ca/destinations/chad
Chile,Exercise a high degree of caution,2025-09-11T16:45:42,https://travel.gc.ca/destinations/chile
China,Exercise a high degree of caution,2025-09-10T15:29:06,https://travel.gc.ca/destinations/china
Colombia,Exercise a high degree of caution (with regional advisories),2025-09-10T14:43:59,https://travel.gc.ca/destinations/colombia
Comoros,Exercise a high degree of caution,2025-09-11T13:52:27,https://travel.gc.ca/destinations/comoros
Cook Islands,Take normal security precautions,2025-09-10T16:27:28,https://travel.gc.ca/destinations/cook-islands
Costa Rica,Exercise a high degree of caution,2025-09-11T15:35:21,https://travel.gc.ca/destinations/costa-rica
Croatia,Take normal security precautions,2025-09-09T16:27:55,https://travel.gc.ca/destinations/croatia
Cuba,Exercise a high degree of caution (with regional advisories),2025-09-03T16:47:20,https://travel.gc.ca/destinations/cuba
