destination,last_updated,details_url
Afghanistan,2024-09-26T10:28:32+01:00,https://www.gov.uk/foreign-travel-advice/afghanistan
Albania,2024-08-13T14:25:02+01:00,https://www.gov.uk/foreign-travel-advice/albania
Algeria,2024-10-26T08:17:23+01:00,https://www.gov.uk/foreign-travel-advice/algeria
Andorra,2024-05-01T15:41:20+01:00,https://www.gov.uk/foreign-travel-advice/andorra
Angola,2024-01-10T12:55:42+00:00,https://www.gov.uk/foreign-travel-advice/angola
Anguilla,2024-03-27T14:43:02+00:00,https://www.gov.uk/foreign-travel-advice/anguilla
Antarctica/British Antarctic Territory,2024-03-06T12:38:26+00:00,https://www.gov.uk/foreign-travel-advice/antarctica-british-antarctic-territory
Antigua and Barbuda,2024-12-03T15:03:59+00:00,https://www.gov.uk/foreign-travel-advice/antigua-and-barbuda
Argentina,2025-03-19T16:49:01+00:00,https://www.gov.uk/foreign-travel-advice/argentina
Armenia,2025-01-17T14:13:03+00:00,https://www.gov.uk/foreign-travel-advice/armenia
Aruba,2024-12-17T11:57:39+00:00,https://www.gov.uk/foreign-travel-advice/aruba
Australia,2025-03-28T09:55:49+00:00,https://www.gov.uk/foreign-travel-advice/australia
Austria,2025-03-17T13:57:43+00:00,https://www.gov.uk/foreign-travel-advice/austria
Azerbaijan,2024-09-10T13:57:56+01:00,https://www.gov.uk/foreign-travel-advice/azerbaijan
Bahamas,2024-12-12T10:24:43+00:00,https://www.gov.uk/foreign-travel-advice/bahamas
Bahrain,2024-10-26T08:31:51+01:00,https://www.gov.uk/foreign-travel-advice/bahrain
Bangladesh,2025-02-21T10:27:26+00:00,https://www.gov.uk/foreign-travel-advice/bangladesh
Barbados,2024-07-24T15:41:59+01:00,https://www.gov.uk/foreign-travel-advice/barbados
Belarus,2025-01-16T10:05:11+00:00,https://www.gov.uk/foreign-travel-advice/belarus
Belgium,2025-03-17T14:01:54+00:00,https://www.gov.uk/foreign-travel-advice/belgium
Belize,2025-01-02T13:03:45+00:00,https://www.gov.uk/foreign-travel-advice/belize
Benin,2024-03-04T14:31:47+00:00,https://www.gov.uk/foreign-travel-advice/benin
Bermuda,2024-09-05T12:09:53+01:00,https://www.gov.uk/foreign-travel-advice/bermuda
Bhutan,2024-12-18T13:06:49+00:00,https://www.gov.uk/foreign-travel-advice/bhutan
Bolivia,2025-03-11T17:00:27+00:00,https://www.gov.uk/foreign-travel-advice/bolivia
Bonaire/St Eustatius/Saba,2024-12-17T11:57:44+00:00,https://www.gov.uk/foreign-travel-advice/bonaire-st-eustatius-saba
Bosnia and Herzegovina,2024-10-07T15:24:50+01:00,https://www.gov.uk/foreign-travel-advice/bosnia-and-herzegovina
Botswana,2025-02-28T10:35:52+00:00,https://www.gov.uk/foreign-travel-advice/botswana
Brazil,2025-02-28T16:22:16+00:00,https://www.gov.uk/foreign-travel-advice/brazil
British Indian Ocean Territory,2024-04-08T12:56:22+01:00,https://www.gov.uk/foreign-travel-advice/british-indian-ocean-territory
British Virgin Islands,2024-12-27T15:38:46+00:00,https://www.gov.uk/foreign-travel-advice/british-virgin-islands
Brunei,2024-10-15T13:51:27+01:00,https://www.gov.uk/foreign-travel-advice/brunei
Bulgaria,2025-03-17T14:13:38+00:00,https://www.gov.uk/foreign-travel-advice/bulgaria
Burkina Faso,2025-02-03T14:33:33+00:00,https://www.gov.uk/foreign-travel-advice/burkina-faso
Burundi,2025-02-19T16:39:30+00:00,https://www.gov.uk/foreign-travel-advice/burundi
Cambodia,2024-11-27T14:54:59+00:00,https://www.gov.uk/foreign-travel-advice/cambodia
Cameroon,2024-11-21T14:18:58+00:00,https://www.gov.uk/foreign-travel-advice/cameroon
Canada,2025-02-24T16:22:14+00:00,https://www.gov.uk/foreign-travel-advice/canada
Cape Verde,2025-02-24T15:02:47+00:00,https://www.gov.uk/foreign-travel-advice/cape-verde
Cayman Islands,2024-07-24T16:11:29+01:00,https://www.gov.uk/foreign-travel-advice/cayman-islands
Central African Republic,2024-08-14T12:13:48+01:00,https://www.gov.uk/foreign-travel-advice/central-african-republic
Chad,2024-05-15T15:09:48+01:00,https://www.gov.uk/foreign-travel-advice/chad
Chile,2025-02-26T14:18:28+00:00,https://www.gov.uk/foreign-travel-advice/chile
China,2024-11-29T16:19:20+00:00,https://www.gov.uk/foreign-travel-advice/china
Colombia,2025-02-26T20:20:51+00:00,https://www.gov.uk/foreign-travel-advice/colombia
Comoros,2025-01-29T17:19:36+00:00,https://www.gov.uk/foreign-travel-advice/comoros
Congo,2025-01-20T12:54:37+00:00,https://www.gov.uk/foreign-travel-advice/congo
"Cook Islands, Tokelau and Niue",2024-03-12T11:24:01+00:00,https://www.gov.uk/foreign-travel-advice/cook-islands-tokelau-and-niue
Costa Rica,2024-11-26T11:10:56+00:00,https://www.gov.uk/foreign-travel-advice/costa-rica
Côte d'Ivoire,2025-03-24T12:10:41+00:00,https://www.gov.uk/foreign-travel-advice/cote-d-ivoire
Croatia,2025-03-17T14:14:45+00:00,https://www.gov.uk/foreign-travel-advice/croatia
Cuba,2025-03-18T12:42:53+00:00,https://www.gov.uk/foreign-travel-advice/cuba
Curaçao,2024-12-17T11:57:49+00:00,https://www.gov.uk/foreign-travel-advice/curacao
Cyprus,2025-01-29T15:38:34+00:00,https://www.gov.uk/foreign-travel-advice/cyprus
Czech Republic,2025-03-17T14:15:51+00:00,https://www.gov.uk/foreign-travel-advice/czech-republic
Democratic Republic of the Congo,2025-02-25T16:56:19+00:00,https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo
Denmark,2025-03-17T13:57:31+00:00,https://www.gov.uk/foreign-travel-advice/denmark
Djibouti,2024-10-14T11:18:54+01:00,https://www.gov.uk/foreign-travel-advice/djibouti
Dominica,2025-03-20T10:41:14+00:00,https://www.gov.uk/foreign-travel-advice/dominica
Dominican Republic,2024-12-04T10:14:04+00:00,https://www.gov.uk/foreign-travel-advice/dominican-republic
Ecuador,2025-03-21T11:18:33+00:00,https://www.gov.uk/foreign-travel-advice/ecuador
Egypt,2025-03-26T12:15:21+00:00,https://www.gov.uk/foreign-travel-advice/egypt
El Salvador,2024-08-15T13:40:30+01:00,https://www.gov.uk/foreign-travel-advice/el-salvador
Equatorial Guinea,2025-02-11T12:14:26+00:00,https://www.gov.uk/foreign-travel-advice/equatorial-guinea
Eritrea,2024-09-12T17:07:33+01:00,https://www.gov.uk/foreign-travel-advice/eritrea
Estonia,2025-03-17T13:59:06+00:00,https://www.gov.uk/foreign-travel-advice/estonia
Eswatini,2025-02-03T15:21:43+00:00,https://www.gov.uk/foreign-travel-advice/eswatini
Ethiopia,2025-03-14T23:54:31+00:00,https://www.gov.uk/foreign-travel-advice/ethiopia
Falkland Islands,2025-03-04T14:33:09+00:00,https://www.gov.uk/foreign-travel-advice/falkland-islands
Federated States of Micronesia,2024-03-01T11:24:30+00:00,https://www.gov.uk/foreign-travel-advice/federated-states-of-micronesia
Fiji,2024-12-24T13:43:29+00:00,https://www.gov.uk/foreign-travel-advice/fiji
Finland,2025-03-17T14:00:15+00:00,https://www.gov.uk/foreign-travel-advice/finland
France,2025-03-17T14:01:39+00:00,https://www.gov.uk/foreign-travel-advice/france
French Guiana,2024-04-18T16:26:03+01:00,https://www.gov.uk/foreign-travel-advice/french-guiana
French Polynesia,2024-12-19T10:28:07+00:00,https://www.gov.uk/foreign-travel-advice/french-polynesia
Gabon,2024-12-19T16:21:24+00:00,https://www.gov.uk/foreign-travel-advice/gabon
