destination,risk_level,last_updated_advisory,advisory_details_url,risk_level_number,country_info_url,last_updated_country_details
Afghanistan,Level 4: Do Not Travel,2025-01-13T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/afghanistan-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Afghanistan.html,2024-05-31T00:00:00
Albania,Level 2: Exercise Increased Caution,2024-12-31T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/albania-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Albania.html,2024-12-31T00:00:00
Algeria,Level 2: Exercise Increased Caution,2024-09-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/algeria-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Algeria.html,2024-09-27T00:00:00
Andorra,Level 1: Exercise Normal Precautions,2025-03-25T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/andorra-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Andorra.html,2022-09-21T00:00:00
Angola,Level 2: Exercise Increased Caution,2024-09-23T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/angola-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Angola.html,2023-12-04T00:00:00
Anguilla,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/anguilla-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Anguilla.html,2023-10-02T00:00:00
Antarctica,Level 2: Exercise Increased Caution,2024-05-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/antarctica-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Antarctica.html,2024-10-30T00:00:00
Antigua and Barbuda,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/antigua-and-barbuda-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/AntiguaandBarbuda.html,2023-10-02T00:00:00
Argentina,Level 1: Exercise Normal Precautions,2024-09-20T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/argentina-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Argentina.html,2025-03-11T00:00:00
Armenia,Level 2: Exercise Increased Caution,2024-04-09T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/armenia-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Armenia.html,2025-01-21T00:00:00
Aruba,Level 1: Exercise Normal Precautions,2024-08-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/aruba-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Aruba.html,2023-09-07T00:00:00
Australia,Level 1: Exercise Normal Precautions,2023-09-08T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/australia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Australia.html,2023-06-01T00:00:00
Austria,Level 1: Exercise Normal Precautions,2024-08-23T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/austria-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Austria.html,2025-05-15T00:00:00
Azerbaijan,Level 2: Exercise Increased Caution,2023-11-02T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/azerbajian-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Azerbaijan.html,2025-01-21T00:00:00
Bahrain,Level 2: Exercise Increased Caution,2024-09-09T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bahrain-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Bahrain.html,2025-02-26T00:00:00
Bangladesh,Level 3: Reconsider Travel,2025-04-18T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bangladesh-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Bangladesh.html,2024-12-16T00:00:00
Barbados,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/barbados-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Barbados.html,2023-10-03T00:00:00
Belarus,Level 4: Do Not Travel,2024-12-18T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/belarus-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Belarus.html,2025-01-21T00:00:00
Belgium,Level 2: Exercise Increased Caution,2023-07-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/belgium-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Belgium.html,2023-09-20T00:00:00
Belize,Level 2: Exercise Increased Caution,2024-12-30T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/belizetravel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Belize.html,2023-02-28T00:00:00
Benin,Level 2: Exercise Increased Caution,2024-05-24T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/benin-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Benin.html,2023-08-01T00:00:00
Bermuda,Level 1: Exercise Normal Precautions,2024-11-12T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bermuda-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Bermuda.html,2023-06-15T00:00:00
Bhutan,Level 1: Exercise Normal Precautions,2024-06-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bhutan-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Bhutan.html,2025-01-21T00:00:00
Bolivia,Level 2: Exercise Increased Caution,2024-06-06T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bolivia-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Bolivia.html,2025-01-21T00:00:00
Bonaire,Level 1: Exercise Normal Precautions,2024-08-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bonaire-travel-advisory.html,1,,
Bosnia and Herzegovina,Level 2: Exercise Increased Caution,2024-12-12T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bosinia-and-herzegovina-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/BosniaandHerzegovina.html,2025-01-21T00:00:00
Botswana,Level 2: Exercise Increased Caution,2024-02-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/botswana-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Botswana.html,2023-08-01T00:00:00
Brazil,Level 2: Exercise Increased Caution,2023-10-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/brazil-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Brazil.html,2025-01-21T00:00:00
British Virgin Islands,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/british-virgin-islands-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/BritishVirginIslands.html,2023-10-03T00:00:00
Brunei,Level 1: Exercise Normal Precautions,2025-03-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/brunei-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Brunei.html,2025-03-10T00:00:00
Bulgaria,Level 1: Exercise Normal Precautions,2024-08-15T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/bulgaria-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Bulgaria.html,2023-07-26T00:00:00
Burkina Faso,Level 4: Do Not Travel,2025-04-16T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/burkina-faso-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/BurkinaFaso.html,2018-03-13T00:00:00
Burma (Myanmar),Level 4: Do Not Travel,2025-05-12T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/burma-travel-advisory.html,4,,
Burundi,Level 3: Reconsider Travel,2025-04-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/burundi-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Burundi.html,2023-06-27T00:00:00
Cabo Verde,Level 1: Exercise Normal Precautions,2024-09-23T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cabo-verde-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/CaboVerde.html,2023-02-09T00:00:00
Cambodia,Level 1: Exercise Normal Precautions,2023-07-24T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cambodia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Cambodia.html,2023-04-25T00:00:00
Cameroon,Level 2: Exercise Increased Caution,2024-12-18T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cameroon-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Cameroon.html,2022-10-12T00:00:00
Canada,Level 1: Exercise Normal Precautions,2024-10-04T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/canada-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Canada.html,2023-08-10T00:00:00
Cayman Islands,Level 1: Exercise Normal Precautions,2024-09-04T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cayman-islands-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/CaymanIslands.html,2023-01-10T00:00:00
Central African Republic,Level 4: Do Not Travel,2024-12-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/central-african-republic-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/CentralAfricanRepublic.html,2023-12-11T00:00:00
Chad,Level 3: Reconsider Travel,2025-03-18T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/chad-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Chad.html,2019-09-30T00:00:00
Chile,Level 2: Exercise Increased Caution,2025-01-16T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/chile-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Chile.html,2025-01-21T00:00:00
China,Level 2: Exercise Increased Caution,2024-11-27T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/china-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/China.html,2025-01-21T00:00:00
Colombia,Level 3: Reconsider Travel,2025-04-17T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/colombia-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Colombia.html,2025-05-05T00:00:00
Comoros,Level 2: Exercise Increased Caution,2024-05-28T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/comoros-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Comoros.html,2023-11-07T00:00:00
Costa Rica,Level 2: Exercise Increased Caution,2024-12-10T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/costa-rica-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/CostaRica.html,2025-04-04T00:00:00
Cote d'Ivoire,Level 2: Exercise Increased Caution,2024-04-08T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cote-d-ivoire-travel-advisory.html,2,,
Croatia,Level 1: Exercise Normal Precautions,2024-08-15T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/croatia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Croatia.html,2022-02-14T00:00:00
Cuba,Level 2: Exercise Increased Caution,2025-05-07T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cuba-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Cuba.html,2025-04-15T00:00:00
Curacao,Level 1: Exercise Normal Precautions,2024-08-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/curacao-travel-advisory.html,1,,
Cyprus,Level 1: Exercise Normal Precautions,2025-01-13T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cyprus-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Cyprus.html,2025-01-21T00:00:00
Czechia,Level 1: Exercise Normal Precautions,2025-04-28T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/czechia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Czechia.html,2023-07-26T00:00:00
Democratic Republic of the Congo,Level 4: Do Not Travel,2025-01-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/democratic-republic-of-the-congo-travel-advisory.html,4,,
